OpenROAD autotuner-v1-2861-g832b18e7 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0320] current_design for other than top cell not supported.
[INFO PDN-0001] Inserting grid: grid
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_0__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_1__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_2__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_3__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_4__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_5__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_6__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/Gen_dccm_enable_dccm/mem_bank_7__dccm_bank/mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_0__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_1__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_2__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_0__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_1__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_2__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_data_inst/WAYS_3__SUBBANKS_3__ic_bank_sb_way_data.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_0__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_1__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_2__ICACHE_SZ_16_ic_way_tag.mem
[INFO PDN-0001] Inserting grid: CORE_macro_grid_1 - mem/icm/ic_tag_inst.WAYS_3__ICACHE_SZ_16_ic_way_tag.mem
[WARNING PDN-0110] No via inserted between metal4 and metal7 at (13.8550, 417.5000) - (14.3350, 418.6850) on VDD
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (164.1100, 835.9050) - (164.3900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.4700, 835.9050) - (167.7500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.8300, 835.9050) - (171.1100, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (174.1900, 835.9050) - (174.4700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (177.5500, 835.9050) - (177.8300, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (180.9100, 835.9050) - (181.1900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (184.2700, 835.9050) - (184.5500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (187.6300, 835.9050) - (187.9100, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (190.9900, 835.9050) - (191.2700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (194.3500, 835.9050) - (194.6300, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (197.7100, 835.9050) - (197.9900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (201.0700, 835.9050) - (201.3500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (204.4300, 835.9050) - (204.7100, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (207.7900, 835.9050) - (208.0700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (211.1500, 835.9050) - (211.4300, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (214.5100, 835.9050) - (214.7900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (217.8700, 835.9050) - (218.1500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (221.2300, 835.9050) - (221.5100, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (224.5900, 835.9050) - (224.8700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (227.9500, 835.9050) - (228.2300, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (231.3100, 835.9050) - (231.5900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (234.6700, 835.9050) - (234.9500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.1700, 750.0850) - (22.4500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.5300, 750.0850) - (25.8100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.8900, 750.0850) - (29.1700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.2500, 750.0850) - (32.5300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (35.6100, 750.0850) - (35.8900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (38.9700, 750.0850) - (39.2500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.3300, 750.0850) - (42.6100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (45.6900, 750.0850) - (45.9700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.0500, 750.0850) - (49.3300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.4100, 750.0850) - (52.6900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (55.7700, 750.0850) - (56.0500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.1300, 750.0850) - (59.4100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.4900, 750.0850) - (62.7700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (65.8500, 750.0850) - (66.1300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.2100, 750.0850) - (69.4900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.5700, 750.0850) - (72.8500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (75.9300, 750.0850) - (76.2100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.2900, 750.0850) - (79.5700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (82.6500, 750.0850) - (82.9300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.0100, 750.0850) - (86.2900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.3700, 750.0850) - (89.6500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (92.7300, 750.0850) - (93.0100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.0900, 750.0850) - (96.3700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.4500, 750.0850) - (99.7300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (102.8100, 750.0850) - (103.0900, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.1700, 750.0850) - (106.4500, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.5300, 750.0850) - (109.8100, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (112.8900, 750.0850) - (113.1700, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.2500, 750.0850) - (116.5300, 750.4500) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.5900, 265.6150) - (140.8700, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.9500, 265.6150) - (144.2300, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (147.3100, 265.6150) - (147.5900, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.6700, 265.6150) - (150.9500, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (154.0300, 265.6150) - (154.3100, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (157.3900, 265.6150) - (157.6700, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.7500, 265.6150) - (161.0300, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (164.1100, 265.6150) - (164.3900, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.4700, 265.6150) - (167.7500, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.8300, 265.6150) - (171.1100, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (174.1900, 265.6150) - (174.4700, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (177.5500, 265.6150) - (177.8300, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (180.9100, 265.6150) - (181.1900, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (184.2700, 265.6150) - (184.5500, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (187.6300, 265.6150) - (187.9100, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (190.9900, 265.6150) - (191.2700, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (194.3500, 265.6150) - (194.6300, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (197.7100, 265.6150) - (197.9900, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (201.0700, 265.6150) - (201.3500, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (204.4300, 265.6150) - (204.7100, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (207.7900, 265.6150) - (208.0700, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (211.1500, 265.6150) - (211.4300, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (214.5100, 265.6150) - (214.7900, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (217.8700, 265.6150) - (218.1500, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (221.2300, 265.6150) - (221.5100, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (224.5900, 265.6150) - (224.8700, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (227.9500, 265.6150) - (228.2300, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (231.3100, 265.6150) - (231.5900, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (234.6700, 265.6150) - (234.9500, 265.9800) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.1700, 437.3250) - (22.4500, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.5300, 437.3250) - (25.8100, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.8900, 437.3250) - (29.1700, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.2500, 437.3250) - (32.5300, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (35.6100, 437.3250) - (35.8900, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (38.9700, 437.3250) - (39.2500, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.3300, 437.3250) - (42.6100, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (45.6900, 437.3250) - (45.9700, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.0500, 437.3250) - (49.3300, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.4100, 437.3250) - (52.6900, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (55.7700, 437.3250) - (56.0500, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.1300, 437.3250) - (59.4100, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.4900, 437.3250) - (62.7700, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (65.8500, 437.3250) - (66.1300, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.2100, 437.3250) - (69.4900, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.5700, 437.3250) - (72.8500, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (75.9300, 437.3250) - (76.2100, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.2900, 437.3250) - (79.5700, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (82.6500, 437.3250) - (82.9300, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.0100, 437.3250) - (86.2900, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.3700, 437.3250) - (89.6500, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (92.7300, 437.3250) - (93.0100, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.0900, 437.3250) - (96.3700, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.4500, 437.3250) - (99.7300, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (102.8100, 437.3250) - (103.0900, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.1700, 437.3250) - (106.4500, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.5300, 437.3250) - (109.8100, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (112.8900, 437.3250) - (113.1700, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.2500, 437.3250) - (116.5300, 437.6900) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (140.5900, 351.5050) - (140.8700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (143.9500, 351.5050) - (144.2300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (147.3100, 351.5050) - (147.5900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (150.6700, 351.5050) - (150.9500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (154.0300, 351.5050) - (154.3100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (157.3900, 351.5050) - (157.6700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (160.7500, 351.5050) - (161.0300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (164.1100, 351.5050) - (164.3900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (167.4700, 351.5050) - (167.7500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (170.8300, 351.5050) - (171.1100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (174.1900, 351.5050) - (174.4700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (177.5500, 351.5050) - (177.8300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (180.9100, 351.5050) - (181.1900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (184.2700, 351.5050) - (184.5500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (187.6300, 351.5050) - (187.9100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (190.9900, 351.5050) - (191.2700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (194.3500, 351.5050) - (194.6300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (197.7100, 351.5050) - (197.9900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (201.0700, 351.5050) - (201.3500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (204.4300, 351.5050) - (204.7100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (207.7900, 351.5050) - (208.0700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (211.1500, 351.5050) - (211.4300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (214.5100, 351.5050) - (214.7900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (217.8700, 351.5050) - (218.1500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (221.2300, 351.5050) - (221.5100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (224.5900, 351.5050) - (224.8700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (227.9500, 351.5050) - (228.2300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (231.3100, 351.5050) - (231.5900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (234.6700, 351.5050) - (234.9500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.1700, 179.7950) - (22.4500, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.5300, 179.7950) - (25.8100, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.8900, 179.7950) - (29.1700, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.2500, 179.7950) - (32.5300, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (35.6100, 179.7950) - (35.8900, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (38.9700, 179.7950) - (39.2500, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.3300, 179.7950) - (42.6100, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (45.6900, 179.7950) - (45.9700, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.0500, 179.7950) - (49.3300, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.4100, 179.7950) - (52.6900, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (55.7700, 179.7950) - (56.0500, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.1300, 179.7950) - (59.4100, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.4900, 179.7950) - (62.7700, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (65.8500, 179.7950) - (66.1300, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.2100, 179.7950) - (69.4900, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.5700, 179.7950) - (72.8500, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (75.9300, 179.7950) - (76.2100, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.2900, 179.7950) - (79.5700, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (82.6500, 179.7950) - (82.9300, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.0100, 179.7950) - (86.2900, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.3700, 179.7950) - (89.6500, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (92.7300, 179.7950) - (93.0100, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.0900, 179.7950) - (96.3700, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.4500, 179.7950) - (99.7300, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (102.8100, 179.7950) - (103.0900, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.1700, 179.7950) - (106.4500, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.5300, 179.7950) - (109.8100, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (112.8900, 179.7950) - (113.1700, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.2500, 179.7950) - (116.5300, 180.1600) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.1700, 351.5050) - (22.4500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.5300, 351.5050) - (25.8100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.8900, 351.5050) - (29.1700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.2500, 351.5050) - (32.5300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (35.6100, 351.5050) - (35.8900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (38.9700, 351.5050) - (39.2500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (42.3300, 351.5050) - (42.6100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (45.6900, 351.5050) - (45.9700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (49.0500, 351.5050) - (49.3300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (52.4100, 351.5050) - (52.6900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (55.7700, 351.5050) - (56.0500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (59.1300, 351.5050) - (59.4100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (62.4900, 351.5050) - (62.7700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (65.8500, 351.5050) - (66.1300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (69.2100, 351.5050) - (69.4900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (72.5700, 351.5050) - (72.8500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (75.9300, 351.5050) - (76.2100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (79.2900, 351.5050) - (79.5700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (82.6500, 351.5050) - (82.9300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (86.0100, 351.5050) - (86.2900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (89.3700, 351.5050) - (89.6500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (92.7300, 351.5050) - (93.0100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (96.0900, 351.5050) - (96.3700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (99.4500, 351.5050) - (99.7300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (102.8100, 351.5050) - (103.0900, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (106.1700, 351.5050) - (106.4500, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (109.5300, 351.5050) - (109.8100, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (112.8900, 351.5050) - (113.1700, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (116.2500, 351.5050) - (116.5300, 351.8700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (22.1700, 835.9050) - (22.4500, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (25.5300, 835.9050) - (25.8100, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (28.8900, 835.9050) - (29.1700, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (32.2500, 835.9050) - (32.5300, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (35.6100, 835.9050) - (35.8900, 836.2700) on VSS
[WARNING PDN-0110] No via inserted between metal4 and metal5 at (38.9700, 835.9050) - (39.2500, 836.2700) on VSS
